,,,,High residence students (1 year) Spring 25-26,,,,,,,,,,,
,Vilnius time,,Group,1,2,3,Break,4,5,6,,,,,
,,,,9:00 - 10:30,10:40 - 12:10,12:20 - 13:50,30 min,14:20 - 15:50,16:00 - 17:30,18:00 - 19:30,,,,,
1 Week,2-Mar,Mon 1,25HR-JA, ,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", ,"High Math Lc
aud 327", , ,,,,,
,,2,25HR-JS, ,,, ,, , ,,,,,
,,3,25HR-CS, ,,, ,, , ,,,,,
,3-Mar,Tue 1,25HR-JA,"Software Testing
(online)", , , ,"English AT aud 340
English OV1 aud 341", , ,,,,,
,,2,25HR-JS,, , ,,, , ,,,,,
,,3,25HR-CS,, , , ,, , ,,,,,
,4-Mar,Wed 1,25HR-JA,OOP Java Lc aud 325,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", , , , ,,,,,
,,2,25HR-JS, ,,, , , ,Web Dev JS Lc (online),,,,,
,,3,25HR-CS, ,,, , , , ,,,,,
,5-Mar,Thu 1,25HR-JA,OOP Java Lc aud 325,"High Math Lc
aud 327", , , , , ,,,,,
,,2,25HR-JS, ,,Web Dev JS Pr aud 330,, , , ,,,,,
,,3,25HR-CS, ,, , , , , ,,,,,
,6-Mar,Fri 1,25HR-JA, , , , ,English OV2 aud 341, , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS,OOP CS Lc (online),OOP CS Lc (online), , ,, , ,,,,,
,7-Mar,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,8-Mar,Sun,, , , , , , , ,,,,,
2 Week,9-Mar,Mon 1,25HR-JA, ,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", , , , ,,,,,
,,2,25HR-JS, ,,,,Web Dev JS Pr aud 330, , ,,,,,
,,3,25HR-CS, ,,, , , , ,,,,,
,10-Mar,Tue 1,25HR-JA,"Software Testing
(online)", , , ,English AT aud 340, , ,,,,,
,,2,25HR-JS,, , ,,, , ,,,,,
,,3,25HR-CS,, , , ,, , ,,,,,
,11-Mar,Wed 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , , , , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,12-Mar,Thu 1,25HR-JA,OOP Java Lc aud 325,"High Math Lc
aud 327",High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,, , , , ,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,13-Mar,Fri 1,25HR-JA,English OV1 aud 341, , , ,English OV2 aud 341,OOP Java Pr aud 325, ,,,,,
,,2,25HR-JS,, , ,,, , ,,,,,
,,3,25HR-CS,,OOP CS Lc (online), , ,, , ,,,,,
,14-Mar,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,15-Mar,Sun,, , , , , , , ,,,,,
3 Week,16-Mar,Mon 1,25HR-JA, ,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", ,OOP Java Pr aud 325, , ,,,,,
,,2,25HR-JS, ,,,,Web Dev JS Pr aud 330, , ,,,,,
,,3,25HR-CS, ,,, , , ,Web Dev JS Lc (online),,,,,
,17-Mar,Tue 1,25HR-JA,"Software Testing
(online)", , , ,"English AT aud 340
English OV1 aud 341", , ,,,,,
,,2,25HR-JS,, , ,,, , ,,,,,
,,3,25HR-CS,, , , ,, , ,,,,,
,18-Mar,Wed 1,25HR-JA,OOP Java Lc aud 325,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", , , , ,,,,,
,,2,25HR-JS, ,,, , , ,Web Dev JS Lc (online),,,,,
,,3,25HR-CS, ,,, , , , ,,,,,
,19-Mar,Thu 1,25HR-JA,OOP Java Lc aud 325,"High Math Lc
aud 327",High Math Pr1 aud 339, , , , ,,,,,
,,2,25HR-JS, ,,,,Web Dev JS Pr aud 330, , ,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,20-Mar,Fri 1,25HR-JA, , , , ,English OV2 aud 341, , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS,OOP CS Lc (online),OOP CS Lc (online), , ,, , ,,,,,
,21-Mar,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,22-Mar,Sun,, , , , , , , ,,,,,
4 Week,23-Mar,Mon 1,25HR-JA, ,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", ,OOP Java Pr aud 325, , ,,,,,
,,2,25HR-JS, ,,,,Web Dev JS Pr aud 330, , ,,,,,
,,3,25HR-CS, ,,, , , , ,,,,,
,24-Mar,Tue 1,25HR-JA,"Software Testing
(online)", , , ,"English AT aud 340
English OV1 aud 341", , ,,,,,
,,2,25HR-JS,, , ,,, , ,,,,,
,,3,25HR-CS,,OOP CS Pr aud 330, , ,, , ,,,,,
,25-Mar,Wed 1,25HR-JA,OOP Java Lc aud 325,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", , ,"??????? ?? ??????? 
?? ????? ????????? 
""? ??????? ? ??????????""
aud 327", ,,,,,
,,2,25HR-JS, ,,,, ,,Web Dev JS Lc (online),,,,,
,,3,25HR-CS, ,,, , ,, ,,,,,
